Company-ID	Website	Company	Date	Location	Status	Stage	Sectors	Tags	Description	Person-1-Photo	Person-1-Name	Person-1-Position	Person-1-Blog-Link	Person-2-Photo	Person-2-Name	Person-2-Position	Person-2-Blog-Link	Person-3-Photo	Person-3-Name	Person-3-Position	Person-3-Blog-Link	Person-4-Photo	Person-4-Name	Person-4-Position	Person-4-Blog-Link	Person-5-Photo	Person-5-Name	Person-5-Position	Person-5-Blog-Link	Person-6-Photo	Person-6-Name	Person-6-Position	Person-6-Blog-Link	Person-7-Photo	Person-7-Name	Person-7-Position	Person-7-Blog-Link	Person-8-Photo	Person-8-Name	Person-8-Position	Person-8-Blog-Link	Person-9-Photo	Person-9-Name	Person-9-Position	Person-9-Blog-Link	Person-10-Photo	Person-10-Name	Person-10-Position	Person-10-Blog-Link	Investment-Period-1	Investment-Amt-1	Investment-Tag-1	Investment-Period-2	Investment-Amt-2	Investment-Tag-2	Investment-Period-3	Investment-Amt-3	Investment-Tag-3	Investment-Period-4	Investment-Amt-4	Investment-Tag-4	Investment-Period-5	Investment-Amt-5	Investment-Tag-5	Product-Name-1	Product-Info-1	Product-Name-2	Product-Info-2	Product-Name-3	Product-Info-3	Product-Name-4	Product-Info-4	Product-Name-5	Product-Info-5	Competitor-URL-3	Milestone-1	Date-1	Milestone-2	Date-2	Milestone-3	Date-3	Milestone-4	Date-4	Milestone-5	Date-5	Milestone-6	Date-6	Milestone-7	Date-7	Milestone-8	Date-8	Milestone-9	Date-9	Milestone-10	Date-10	Data-Chart	Album-1	Album-1-Followed
																																																																																																		
10010871	http://renjirong.com	"Yuanyang Aipu (Beijing) Investmet Management Co., Ltd"	"June, 2014"	"Xicheng District, Beijing"	In Operation	Initial Stage	Financial Service	"P2P Lendings, Financial Services, Loans"	"Rejirong is a social networking platform that offers financial services, including services like investments, financing risk control and payments. It is a product under Yuanyang Aipu (Beijing) Investmet Management Co., Ltd."	http://itjuzi.com/thumb/?w=50&h=50&src=/images/6b6c7c8c01fb7816e7f5e5f8e52a437c.jpg	Jie Lian	CEO		http://itjuzi.com/thumb/?w=50&h=50&src=/images/75e2c60abf97a098f792b04c3fa0dbb6.jpg	Chao Hu	COO		http://itjuzi.com/thumb/?w=50&h=50&src=/images/75dcb3eba4914e363406e539ecb9a235.jpg	Yan Ji	CRO		http://itjuzi.com/thumb/?w=50&h=50&src=/images/eb4bccfd88232ef896a8a7f67ce42755.jpg	Lili Li	CTO																																									Renjirong	"Finance, Loans"									http://itjuzi.com/company/9585	Renjirong.com was online.	"June, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=renjirong.com		
																																																																																																		
10010870	http://www.5i5dai.com	"Hengyuan Financial Information Service Co., Ltd."	"June, 2014"	"Jing'an District, Shanghai"	In Operation	Initial Stage	Financial Service	"P2P Lendings, Financial Services, Loans"	"5i5dai is a financial service website that provies p2p lendings.  IT offers comprehensive credit rating service, credit manegment service, investment management service and financing risk control service. "	http://itjuzi.com/thumb/?w=50&h=50&src=asset/img/user_gravatar.jpeg	Zhenfeng Fu	Founder																																																					5i5dai.com	Online Financial Service Platform									http://itjuzi.com/company/7145	Woaiwohuo.com was online.	"June, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.5i5dai.com		
																																																																																																		
10010861	http://www.yunmall.com	"Beijing Yun Mao E-Commerce Co., Ltd."	"June, 2014"	"Chaoyang District, Beijing"	In Operation	Initial Stage	E-Commerce	"Mobile Applications , Mobile E-Commerce"	Yun Mall is a mobile online shopping mall that provides consumerized shopping experience for its users. It is a product under Beijing Yun Mao E-Commerce Company. 	http://itjuzi.com/thumb/?w=50&h=50&src=asset/img/user_gravatar.jpeg	Yunqian Wu	Founder																																																					Yun Mall iOS App	Mobile Shopping Application									http://itjuzi.com/company/5547	Yun Mall newly launched App.	"June, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.yunmall.com		
																																																																																																		
10010850	http://www.modouwifi.com	"Shanghai Guoke Electric Co., Ltd."	"June, 2014"	"Pudong District, Shanghai"	In Operation	Initial Stage	Electronic Hardware	"New Product by Large Companies , Consumer Electronics , Hardware , WiFi"	Modou Router is a a router product under Shengda Guoke Electric Company that uses Modou Rom operation system.	http://itjuzi.com/thumb/?w=50&h=50&src=/images/7b867112e23113ae0110815528157f05.jpg	Xiaobin Gu	CEO	http://weibo.com/ztiger	http://itjuzi.com/thumb/?w=50&h=50&src=/images/4ab784a9b60ed6034affcd90065cb02d.jpg	Dong Huang	Person in Charge	http://weibo.com/huangdong																																																										http://itjuzi.com/company/9369	Modou Modem was offically launched for only 149 RMB.	"June, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.modouwifi.com		
																																																																																																		
10010846	http://www.mc522.com/		"June, 2014"	"Guangzhou, Guangdong"	In Operation	Initial Stage	E-Commerce	"B2C , E-Commerce , Fresh Produce E-commerce"	"Lanmaicao is a fresh produce e-commerce website that offers fresh vegitables, fresh dishes as well as recipes."																																																																		http://itjuzi.com/company/3610	Lanmeicao was officially founded.	"June, 2014"																			http://traffic.alexa.com/graph?w=280&h=160&r=6m&y=t&u=www.mc522.com		
